projects,category,stars,commits,LOC
https://github.com/FlowCI/flow-platform,build,728,1889,42271
https://github.com/glyptodon/guacamole-client,application,1001,5378,58122
https://github.com/vespa-engine/vespa,database,3149,37381,1413581
https://github.com/OAuth-Apis/apis,security,594,431,37253
https://github.com/orfjackal/retrolambda,language,3526,529,7387
https://github.com/immutables/immutables,code generators,2650,2307,41723
https://github.com/apache/avro,data structures,1556,2260,169726
https://github.com/spring-cloud/spring-cloud-netflix,rest frameworks,3972,2670,39735
https://github.com/a2888409/face2face,application,1349,101,6710
https://github.com/springside/springside4,template engine,5761,1074,14109
https://github.com/galenframework/galen,testing framework,1373,1555,62011
https://github.com/KylinOLAP/Kylin,distributed system,560,1977,97468
https://github.com/code4craft/webmagic,crawler,8911,1021,15614
https://github.com/AsyncHttpClient/async-http-client,http client,5390,4075,31562
https://github.com/umlet/umlet,graph,822,1810,43452
https://github.com/electronicarts/ea-async,asynchronous,867,263,7087
https://github.com/iluwatar/java-design-patterns,miscellaneous,57300,2422,38304
https://github.com/qos-ch/slf4j,logging,1438,1669,20457
https://github.com/dropwizard/dropwizard,rest frameworks,7600,5376,59588
https://github.com/twitter/elephant-bird,framework,1100,1374,26754
https://github.com/javamelody/javamelody,monitoring,2173,3516,64819
https://github.com/deeplearning4j/deeplearning4j,machine learning,11593,875,295434
https://github.com/peholmst/vaadin4spring,web framework,267,739,9238
https://github.com/iBase4J/iBase4J,distributed system,1429,1191,57969
https://github.com/iipc/openwayback,application,336,3392,64238
https://github.com/spring-projects/spring-shell,cli,448,435,7359
https://github.com/blackberry/WebWorks,platform,263,22,49824
https://github.com/apache/curator,distributed system,2093,2679,57635
https://github.com/alphazero/jredis,database,303,314,17059
https://github.com/amaembo/huntbugs,code analysis,301,580,28246
https://github.com/xwiki/xwiki-platform,platform,518,39581,664594
https://github.com/druid-io/druid,database,9563,10292,508540
https://github.com/neo4j/neo4j,graph database,7659,68033,936487
https://github.com/jbehave/jbehave-core,framework,238,2428,109483
https://github.com/jbox2d/jbox2d,GUI,799,742,43623
https://github.com/pgjdbc/pgjdbc,database,802,2657,77012
https://github.com/facebook/swift,serialization,860,595,31852
https://github.com/alibaba/DataX,sync,5610,77,53104
https://github.com/openhab/openhab2-addons,platform,1303,4693,266080
https://github.com/openzipkin/zipkin,monitoring,12734,2384,60046
https://github.com/FudanNLP/fnlp,natural language propocssing,2305,85,35027
https://github.com/foxinmy/weixin4j,application,735,894,44808
https://github.com/square/keywhiz,security,2205,1252,383151
https://github.com/rubenlagus/TelegramBots,application,1826,750,22684
https://github.com/RUB-NDS/WS-Attacker,testing framework,365,150,64319
https://github.com/SeldonIO/seldon-server,machine learning,1420,1461,68089
https://github.com/fabric8io/kubernetes-client,messaging,1346,2834,31838
https://github.com/SmartBear/soapui,testing framework,1062,7418,252827
https://github.com/confluentinc/kafka-rest,messaging,1517,1506,15107
https://github.com/AlmasB/FXGL,game development,1348,3527,61387
https://github.com/ctripcorp/apollo,microservice,20508,2362,67411
https://github.com/tinkerpop/blueprints,graph,1305,1766,61050
https://github.com/apache/flink,machine learning,12738,21524,842616
https://github.com/spring-cloud/spring-cloud-sleuth,web framework,1256,2620,24587
https://github.com/wocommunity/wonder,web framework,205,13867,681200
https://github.com/Tencent/angel,machine learning,5780,2350,112375
https://github.com/twitter/distributedlog,twitter,2268,92,79139
https://github.com/cloudfoundry/cf-java-client,rest frameworks,293,4428,114683
https://github.com/rest-assured/rest-assured,asynchronous,4653,1955,41814
https://github.com/DozerMapper/dozer,bean mapping,1680,1065,44039
https://github.com/spotify/apollo,microservice,1556,587,21137
https://github.com/openhab/openhab1-addons,platform,3484,9684,474459
https://github.com/alibaba/canal,database,13534,1378,44530
